rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0029,470564,Q001040CC205B0000470564202102181211F08001,20029445,0029,F08001,8853474056620,8853474056620,8853474056620,8853474056620,สมาร์ทเตอร์ชุดมีดโกนสำเร็จรูป,8,19.63,18 Feb 12:17AM
0030,470564,Q001040CC205B0000470564202102181211F08001,20029445,0030,F08001,8851025111118,8851025111118,8851025111118,8851025111118,เรเซอร์คิงส์ด้ามมีดโกนหนวด,5,33,18 Feb 12:17AM
0031,470564,Q001040CC205B0000470564202102181211F08001,20029445,0031,F08001,8851025111231,8851025111231,8851025111231,8851025111231,เรเซอร์คิงส์ด้ามมีดซุปเปอพลัส 3X,7,27.88,18 Feb 12:17AM
0032,470564,Q001040CC205B0000470564202102181211F08001,20029445,0032,F08001,7702018456895,7702018456895,7702018456895,7702018456895,ยิลเลตต์ด้ามมีดซิมพลี3เบสิก X4,6,76.3,18 Feb 12:17AM
0033,470564,Q001040CC205B0000470564202102181211F08001,20029445,0033,F08001,7702018880010,7702018880010,7702018880010,7702018880010,ยิลเลตต์ด้ามมีดผู้หญิงเดซี่ X5,11,82.06,18 Feb 12:18AM
0034,470564,Q001040CC205B0000470564202102181211F08001,20029445,0034,F08001,47400247307,47400247307,47400247307,47400247307,ยิลเลตต์โฟมโกนหนวดเมนทอล,11,155.75,18 Feb 12:18AM
0035,470564,Q001040CC205B0000470564202102181211F08001,20029445,0035,F08001,47400245105,47400245105,47400245105,47400245105,ยิลเลตต์โฟมโกนหนวดเลมอน175ก,3,154.13,18 Feb 12:18AM
0036,470564,Q001040CC205B0000470564202102181211F08001,20029445,0036,F08001,3014260214692,3014260214692,3014260214692,3014260214692,ยิลเลตต์เชฟเจลผิวบอบบาง 195ก,3,239.64,18 Feb 12:18AM
0037,470564,Q001040CC205B0000470564202102181211F08001,20029445,0037,F08001,3014260220051,3014260220051,3014260220051,3014260220051,ยิลเลตต์เชฟเจลมอยส์เจอร์ 195ก,10,245.01,18 Feb 12:19AM
0038,470564,Q001040CC205B0000470564202102181211F08001,20029445,0038,F08001,7702018080984,7702018080984,7702018080984,7702018080984,ยิลเลตต์โปรไกลด์เชฟเจล 195ก,5,217.96,18 Feb 12:20AM
0039,470564,Q001040CC205B0000470564202102181211F08001,20029445,0039,F08001,3014260220051,3014260220051,3014260220051,3014260220051,ยิลเลตต์เชฟเจลมอยส์เจอร์ 195ก,2,245.01,18 Feb 12:20AM
0040,470564,Q001040CC205B0000470564202102181211F08001,20029445,0040,F08001,51009007699,51009007699,51009007699,51009007699,บาร์บาโซลเชฟวิ่งครีมแปซิฟิ198ก,3,100.37,18 Feb 12:20AM
0041,470564,Q001040CC205B0000470564202102181211F08001,20029445,0041,F08001,4902806125887,4902806125887,4902806125887,4902806125887,แกสบี้เจลสำหรับโกนหนวด 165ก,3,92.82,18 Feb 12:20AM
0042,470564,Q001040CC205B0000470564202102181211F08001,20029445,0042,F08001,3014260219949,3014260219949,3014260219949,3014260219949,ยิลเลตต์เจลสูตรอ่อนโยน 70ก,6,99.15,18 Feb 12:21AM
0043,470564,Q001040CC205B0000470564202102181211F08001,20029445,0043,F08001,8850195720076,8850195720076,8850195720076,8850195720076,เคลียโลชั่นทาหลังโกนหนวด120มล,12,125,18 Feb 12:21AM
0044,470564,Q001040CC205B0000470564202102181211F08001,20029445,0044,F08001,8858769980116,8858769980116,8858769980116,8858769980116,คูรินน้ำยาล้างซอนเร้นเย็น90มล,9,42.8,18 Feb 12:21AM
0045,470564,Q001040CC205B0000470564202102181211F08001,20029445,0045,F08001,8850360032454,8850360032454,8850360032454,8850360032454,ดูเร็กซ์ถุงยางเอ็กซ์พลอร 3ชิ้น,5,32.11,18 Feb 12:21AM
0046,470564,Q001040CC205B0000470564202102181211F08001,20029445,0046,F08001,5038483235171,5038483235171,5038483235171,5038483235171,ดูเร็กซเลิฟถุงยางผิวเรียบ3ชิ้น,13,27.46,18 Feb 12:22AM
0047,470564,Q001040CC205B0000470564202102181211F08001,20029445,0047,F08001,5052197050783,5052197050783,5052197050783,5052197050783,ดูเร็กซ์ถุงยางแอรี่บางเบาX2,4,49.17,18 Feb 12:22AM
0048,470564,Q001040CC205B0000470564202102181211F08001,20029445,0048,F08001,8850163000377,8850163000377,8850163000377,8850163000377,ดูเร็กซ์คิงเท็กซ์,21,29.15,18 Feb 12:23AM
0049,470564,Q001040CC205B0000470564202102181211F08001,20029445,0049,F08001,5038483198148,5038483198148,5038483198148,5038483198148,ดูเร็กซ์ถุงยางอนามัย,7,55.42,18 Feb 12:23AM
0050,470564,Q001040CC205B0000470564202102181211F08001,20029445,0050,F08001,8850360033772,8850360033772,8850360033772,8850360033772,ดูเร็กซ์ถุงยางช็อกโกแลต 3ชิ้น,5,54.83,18 Feb 12:23AM
0051,470564,Q001040CC205B0000470564202102181211F08001,20029445,0051,F08001,8850163000377,8850163000377,8850163000377,8850163000377,ดูเร็กซ์คิงเท็กซ์,3,29.15,18 Feb 12:24AM
0052,470564,Q001040CC205B0000470564202102181211F08001,20029445,0052,F08001,8850163100374,8850163100374,8850163100374,8850163100374,ดูเร็กซ์ถุงยางคิงเท็กซ์ 12ชิ้น,5,104.08,18 Feb 12:24AM
0053,470564,Q001040CC205B0000470564202102181211F08001,20029445,0053,F08001,8850360033765,8850360033765,8850360033765,8850360033765,ดูเร็กซ์ถุงยางช็อกโกแลต 12ชิ้น,4,190.14,18 Feb 12:25AM
