rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0001,B01B0105,8850039204021,8850039204021,8850039204021,8850039204021,สก็อตต์เอ็กซ์ตร้ายาวสุดพิเศษX6,6,86.97,17 Feb 08:43PM
0002,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0002,B01B0105,8888336027760,8888336027760,8888336027760,8888336027760,สก๊อตต์คลีนแคร์2XLแพค24,4,282.14,17 Feb 08:43PM
0003,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0003,B01B0105,8850039719136,8850039719136,8850039719136,8850039719136,คลีเน็กซ์บียู 140แผ่น X3,12,101.04,17 Feb 08:44PM
0004,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0004,B01B0105,8858678472207,8858678472207,8858678472207,8858678472207,พินเนเชอรัลอเนกประสงค์200แผ่น,24,33.64,17 Feb 08:44PM
0005,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0005,B01B0105,8850709230138,8850709230138,8850709230138,8850709230138,เซอร์เทนตี้ผ้าอ้อมจัมโบ้ L 24,4,342.06,17 Feb 08:44PM
0006,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0006,B01B0105,8888336024196,8888336024196,8888336024196,8888336024196,สก๊อตต์คลีนแคร์กระดาษชำระX24,5,235.72,17 Feb 08:45PM
0007,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0007,B01B0105,8859618022247,8859618022247,8859618022247,8859618022247,ซันนีเบบีลัคฌุริผ้าอ้อมL X36,4,213.85,17 Feb 08:46PM
0008,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0008,B01B0105,8857125886031,8857125886031,8857125886031,8857125886031,เชอร์รี่เบบี้ซุปเปอร์ธินM X64,3,367.99,17 Feb 08:47PM
0009,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0009,B01B0105,8850046281336,8850046281336,8850046281336,8850046281336,เซลล็อกซ์พิวริฟายไลน์เฟรน140X3,12,89.07,17 Feb 08:47PM
0010,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0010,B01B0105,8850039804993,8850039804993,8850039804993,8850039804993,คลีเน็กซ์อโลแอนด์อี 80แผ่น X3,10,112.76,17 Feb 08:47PM
0011,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0011,B01B0105,8853474045099,8853474045099,8853474045099,8853474045099,สมาร์ทเตอร์กระดาษเช็ดหน้า X3,16,39.02,17 Feb 08:47PM
0012,470564,Q001040CBBF230000470564202102170831B01B0105,20026944,0012,B01B0105,8888336033594,8888336033594,8888336033594,8888336033594,ฮักกี้โกลด์ซอฟท์แอนสลิมNB X72,3,438.04,17 Feb 08:48PM
