rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0028,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0028,B01B0106,8853474065912,8853474065912,8853474065912,8853474065912,สมาร์ทเตอร์กระเป๋าผ้าคละสี,10,65,17 Feb 09:43PM
0029,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0029,B01B0106,8853474064755,8853474064755,8853474064755,8853474064755,สมาร์ทเตอร์พลีทเขียวใบไม้,10,83.5,17 Feb 09:43PM
0030,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0030,B01B0106,8853474064793,8853474064793,8853474064793,8853474064793,สมาร์ทเตอร์พลีทสีเปลือกมังคุด,10,83.5,17 Feb 09:43PM
0031,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0031,B01B0106,8853474064724,8853474064724,8853474064724,8853474064724,สมาร์ทเตอร์พลีทอิตาเลี่ยน,10,83.5,17 Feb 09:43PM
0032,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0032,B01B0106,8853474064786,8853474064786,8853474064786,8853474064786,สมาร์ทเตอร์กระเป๋าพลีทสีกรมท่า,10,83.5,17 Feb 09:44PM
0033,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0033,B01B0106,8853474064809,8853474064809,8853474064809,8853474064809,สมาร์ทเตอร์กระเป๋าพลีทสีเทา,10,83.5,17 Feb 09:44PM
0034,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0034,B01B0106,8853474064816,8853474064816,8853474064816,8853474064816,สมาร์ทเตอร์กระเป๋าพลีทสีเขียว,10,83.5,17 Feb 09:44PM
0035,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0035,B01B0106,8853474064786,8853474064786,8853474064786,8853474064786,สมาร์ทเตอร์กระเป๋าพลีทสีกรมท่า,10,83.5,17 Feb 09:44PM
0036,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0036,B01B0106,8853474064731,8853474064731,8853474064731,8853474064731,สมาร์ทเตอร์กระเป๋าพลีทสีส้ม,10,83.5,17 Feb 09:44PM
0037,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0037,B01B0106,8853474064731,8853474064731,8853474064731,8853474064731,สมาร์ทเตอร์กระเป๋าพลีทสีส้ม,10,83.5,17 Feb 09:44PM
0038,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0038,B01B0106,8853474064793,8853474064793,8853474064793,8853474064793,สมาร์ทเตอร์พลีทสีเปลือกมังคุด,10,83.5,17 Feb 09:45PM
0039,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0039,B01B0106,8853474064755,8853474064755,8853474064755,8853474064755,สมาร์ทเตอร์พลีทเขียวใบไม้,10,83.5,17 Feb 09:45PM
0040,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0040,B01B0106,8853474064809,8853474064809,8853474064809,8853474064809,สมาร์ทเตอร์กระเป๋าพลีทสีเทา,10,83.5,17 Feb 09:45PM
0041,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0041,B01B0106,8853474065912,8853474065912,8853474065912,8853474065912,สมาร์ทเตอร์กระเป๋าผ้าคละสี,10,65,17 Feb 09:45PM
0042,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0042,B01B0106,8853474064724,8853474064724,8853474064724,8853474064724,สมาร์ทเตอร์พลีทอิตาเลี่ยน,10,83.5,17 Feb 09:46PM
0043,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0043,B01B0106,8853474065912,8853474065912,8853474065912,8853474065912,สมาร์ทเตอร์กระเป๋าผ้าคละสี,10,65,17 Feb 09:46PM
0044,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0044,B01B0106,8853474064816,8853474064816,8853474064816,8853474064816,สมาร์ทเตอร์กระเป๋าพลีทสีเขียว,10,83.5,17 Feb 09:46PM
0045,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0045,B01B0106,8853474065912,8853474065912,8853474065912,8853474065912,สมาร์ทเตอร์กระเป๋าผ้าคละสี,10,65,17 Feb 09:46PM
0046,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0046,B01B0106,8853474058624,8853474058624,8853474058624,8853474058624,สมาร์ทเตอร์ถุงเก็บความเย็น,8,25.5,17 Feb 09:47PM
0047,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0047,B01B0106,8851959907009,8851959907009,8851959907009,8851959907009,กระเป๋ายูโร 2020,47,37,17 Feb 09:49PM
0048,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0048,B01B0106,8853474065301,8853474065301,8853474065301,8853474065301,สมาร์ทเตอร์ถุงผ้ารีไซเคิลเขียว,21,35,17 Feb 09:51PM
0049,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0049,B01B0106,8853474065295,8853474065295,8853474065295,8853474065295,สมาร์ทเตอร์ถุงผ้ารีไซเคิลชมพู,5,30,17 Feb 09:51PM
0050,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0050,B01B0106,8859391700318,8859391700318,8859391700318,8859391700318,เคอรี่กล่องพัสดุรุ่นM,1,16,17 Feb 09:51PM
0051,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0051,B01B0106,8859391700318,8859391700318,8859391700318,8859391700318,เคอรี่กล่องพัสดุรุ่นM,10,16,17 Feb 09:52PM
0052,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0052,B01B0106,8853474063062,8853474063062,8853474063062,8853474063062,สมาร์ทเตอร์กระเป๋าเย็นสีเขียว,24,31,17 Feb 09:53PM
0053,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0053,B01B0106,8850046171309,8850046171309,8850046171309,8850046171309,เซลล็อกซ์เอ็กซ์ตร้าบิ๊กโรล X30,1,199.11,17 Feb 09:55PM
0054,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0054,B01B0106,8853474044634,8853474044634,8853474044634,8853474044634,สมาร์ทเตอร์กระดาษอเนกประสงค์X6,3,99.35,17 Feb 09:55PM
0055,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0055,B01B0106,8888336006093,8888336006093,8888336006093,8888336006093,สก็อตต์ทาวเวลบิ๊กโรล 2ม้วน,14,45.69,17 Feb 09:56PM
0056,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0056,B01B0106,8888336032108,8888336032108,8888336032108,8888336032108,สก็อตต์ทาวเวลบิ๊กโรลXL 2ม้วน,22,57.1,17 Feb 09:57PM
0057,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0057,B01B0106,8853474065608,8853474065608,8853474065608,8853474065608,สมาร์ทเตอร์กะดาษชำระเอ็กตราX24,4,128.52,17 Feb 10:00PM
0058,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0058,B01B0106,8853474065370,8853474065370,8853474065370,8853474065370,สมาร์ทเตอร์กะดาษชำระหนา3ชันX24,4,141.12,17 Feb 10:00PM
0059,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0059,B01B0106,8853474065370,8853474065370,8853474065370,8853474065370,สมาร์ทเตอร์กะดาษชำระหนา3ชันX24,12,141.12,17 Feb 10:01PM
0060,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0060,B01B0106,8888336011998,8888336011998,8888336011998,8888336011998,สก็อตต์เอ็กตร้าแคร์ป๊อปอัพ60X6,7,56.28,17 Feb 10:02PM
0061,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0061,B01B0106,5420072764702,5420072764702,5420072764702,5420072764702,ด็อกเตอร์คลีนผ้าอ้อมS M 11ชิ้น,6,188.5,17 Feb 10:03PM
0062,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0062,B01B0106,8850709201114,8850709201114,8850709201114,8850709201114,เบบี้เลิฟเพลย์แพ้นท์XL 42ชิ้น,3,366.24,17 Feb 10:04PM
0063,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0063,B01B0106,8888336017037,8888336017037,8888336017037,8888336017037,คลีเน็กซ์ซิลค์กี้สมูท80แผ่น X3,12,107.92,17 Feb 10:05PM
0064,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0064,B01B0106,8858947851023,8858947851023,8858947851023,8858947851023,เอลิแอลทิชชูคอตตอนนี่140แผ่นX3,13,91.63,17 Feb 10:05PM
0065,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0065,B01B0106,8888336017037,8888336017037,8888336017037,8888336017037,คลีเน็กซ์ซิลค์กี้สมูท80แผ่น X3,12,107.92,17 Feb 10:05PM
0066,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0066,B01B0106,8888336015491,8888336015491,8888336015491,8888336015491,สก๊อตต์เอ็กซ์ตร้ายาวสุดพิเศษ24,4,283.36,17 Feb 10:05PM
0067,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0067,B01B0106,8888336017037,8888336017037,8888336017037,8888336017037,คลีเน็กซ์ซิลค์กี้สมูท80แผ่น X3,12,107.92,17 Feb 10:05PM
0068,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0068,B01B0106,8888336032917,8888336032917,8888336032917,8888336032917,ฮักกี้ซอฟท์แอนด์สลิมXL 38ชิ้น,4,431.7,17 Feb 10:05PM
0069,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0069,B01B0106,8853474065608,8853474065608,8853474065608,8853474065608,สมาร์ทเตอร์กะดาษชำระเอ็กตราX24,4,128.52,17 Feb 10:06PM
