rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0001,B01B0106,8851111611034,8851111611034,8851111611034,8851111611034,ไลฟ์รี่กางเกงสวมสบายL18ชิ้น,1,252.13,17 Feb 08:35PM
0002,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0002,B01B0106,8851111611034,8851111611034,8851111611034,8851111611034,ไลฟ์รี่กางเกงสวมสบายL18ชิ้น,1,252.13,17 Feb 08:35PM
0003,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0003,B01B0106,8858983800283,8858983800283,8858983800283,8858983800283,แพ็คแก็กส์หน้ากากพีเอ็ม2.5 X50,20,85,17 Feb 08:35PM
0004,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0004,B01B0106,8858843205876,8858843205876,8858843205876,8858843205876,เฟรชพลัสหน้ากากอนามัย X40,5,64.76,17 Feb 08:36PM
0005,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0005,B01B0106,8858983800283,8858983800283,8858983800283,8858983800283,แพ็คแก็กส์หน้ากากพีเอ็ม2.5 X50,10,85,17 Feb 08:36PM
0006,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0006,B01B0106,8850304015161,8850304015161,8850304015161,8850304015161,3เอ็มใยขัดสองประสงค์3X4นิ้ว X2,8,24.6,17 Feb 08:36PM
0007,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0007,B01B0106,8850002017443,8850002017443,8850002017443,8850002017443,เปาวินวอชผงซักฟอกเข้มข้น 800ก,12,68.58,17 Feb 08:37PM
0008,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0008,B01B0106,8851818182646,8851818182646,8851818182646,8851818182646,แอทแทคทรีดีโรแมนติกเลิฟ800ก,10,52.82,17 Feb 08:37PM
0009,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0009,B01B0106,8851989033105,8851989033105,8851989033105,8851989033105,ไฟน์ไลน์แอนตี้แบคสีฟ้า 700มล,12,33.27,17 Feb 08:38PM
0010,470564,Q001040CBBF3B0000470564202102170831B01B0106,20028936,0010,B01B0106,8851989032610,8851989032610,8851989032610,8851989032610,ไฟน์ไลน์แอลลิแกนซ์สีทอง 500มล,12,28.93,17 Feb 08:38PM
