rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0001,NS01A0101,8886467033186,8886467033186,8886467033186,8886467033186,LBPบอดี้วอชเพทัลซอท์400มล,13,153.5,17 Feb 09:09PM
0002,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0002,NS01A0101,8886467033056,8886467033056,8886467033056,8886467033056,เลิฟบิวตีบลูมมิ่งครีมนวด 400มล,2,188.5,17 Feb 09:09PM
0003,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0003,NS01A0101,8886467033001,8886467033001,8886467033001,8886467033001,เลิฟบิวตี้บลูมมิ่งแชมพู 400มล,3,188.5,17 Feb 09:10PM
0004,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0004,NS01A0101,8886467033018,8886467033018,8886467033018,8886467033018,เลิฟบิวตี้เรดิคัลแชมพู 400มล,1,188.5,17 Feb 09:10PM
0005,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0005,NS01A0101,8886467033063,8886467033063,8886467033063,8886467033063,เลิฟบิวตี้เรดิคัลครีมนวด 400มล,1,188.5,17 Feb 09:10PM
0006,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0006,NS01A0101,8886467033018,8886467033018,8886467033018,8886467033018,เลิฟบิวตี้เรดิคัลแชมพู 400มล,1,188.5,17 Feb 09:10PM
0007,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0007,NS01A0101,8886467033063,8886467033063,8886467033063,8886467033063,เลิฟบิวตี้เรดิคัลครีมนวด 400มล,1,188.5,17 Feb 09:10PM
0008,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0008,NS01A0101,8807779080507,8807779080507,8807779080507,8807779080507,แทงกีมอรีแชมพูไวทัลไลซิง 300มล,11,323.69,17 Feb 09:11PM
0009,470564,Q001040CBBF3B0000470564202102170907NS01A0101,20028936,0009,NS01A0101,4902430919449,4902430919449,4902430919449,4902430919449,แพนทีนครีมนวดไมเซล่าโรส 300มล,12,133.91,17 Feb 09:11PM
